bookID	title	authors	average_rating	isbn	isbn13	language_code	# num_pages	ratings_count	text_reviews_count	
131	The Power of One: The Solo Play for Playwrights  Actors  and Directors	Louis E. Catron	3.79	325001537	9.78033E+12	eng	240	10	0	
132	How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days	Adam Ginsberg	3.49	006076287X	9.78006E+12	eng	336	73	9	
133	eBay for Dummies	Marsha Collier	3.5	470045299	9.78047E+12	eng	386	102	9	
135	What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond	Chris Malta-Lisa Suttora	3.62	72262788	9.78007E+12	eng	260	24	0	
137	Starting an eBay Business for Dummies	Marsha Collier	3.52	764569244	9.78076E+12	eng	384	51	4	
138	eBay: Top 100 Simplified Tips & Tricks	Julia Wilkinson	4.27	471933821	9.78047E+12	eng	260	9	0	
139	ebay Timesaving Techniques for Dummies	Marsha Collier	3.55	764559915	9.78076E+12	en-US	391	19	1	
140	eBay Business All-in-One Desk Reference for Dummies	Marsha Collier	3.89	764584383	9.78076E+12	en-US	864	17	3	
141	Ruby Cookbook	Lucas Carlson-Leonard Richardson	3.82	596523696	9.7806E+12	eng	873	163	4	
142	Ruby Ann's Down Home Trailer Park Cookbook	Ruby Ann Boxcar	4.09	806523492	9.78081E+12	eng	240	47	5	
144	Ruby Ann's Down Home Trailer Park BBQin' Cookbook	Ruby Ann Boxcar	4.08	806525363	9.78081E+12	eng	206	12	2	
147	Rails Cookbook: Recipes for Rapid Web Development with Ruby	Rob Orsini	3.65	596527314	9.7806E+12	eng	514	49	1	
151	Anna Karenina	Leo Tolstoy-Richard Pevear-Larissa Volokhonsky	4.04	143035002	9.78014E+12	eng	838	15747	1795	
152	Anna Karenina	Leo Tolstoy-David Magarshack-Priscilla Meyer	4.04	451528611	9.78045E+12	eng	960	108970	5694	
153	Anna Karenina	Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley	4.04	140449175	9.78014E+12	eng	837	2835	300	
154	CliffsNotes on Tolstoy's Anna Karenina	Marianne Sturman-Leo Tolstoy	3.89	822001837	9.78082E+12	eng	80	15	3	
155	Anna Karenina	Leo Tolstoy-Amy Mandelker-Constance Garnett	4.04	1593080271	9.78159E+12	eng	803	9362	710	
156	Anna Karenina	Leo Tolstoy-Louise Maude-Aylmer Maude	4.04	486437965	9.78049E+12	eng	752	460	71	
157	Anna Karenina	Leo Tolstoy-Constance Garnett-Amy Mandelker	4.04	1593081774	9.78159E+12	eng	803	298	47	
159	Dinner with Anna Karenina	Gloria Goldreich	2.96	778322270	9.78078E+12	eng	368	400	64	
160	Tolstoy: Anna Karenina	Anthony Thorlby	4.19	521313252	9.78052E+12	eng	128	1191	32	
162	Untouchable	Mulk Raj Anand-E.M. Forster	3.7	140183957	9.78014E+12	eng	160	3168	250	
163	The Untouchable	John Banville	3.96	679767479	9.78068E+12	eng	367	2077	209	
164	The Untouchables	Eliot Ness-Oscar Fraley	3.89	1568491980	9.78157E+12	eng	256	587	29	
165	Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India	Narendra Jadhav	3.82	743270797	9.78074E+12	en-US	320	299	39	
166	Dalit: The Black Untaouchables of India	V.T. Rajshekar-Y.N. Kly	4.33	932863051	9.78093E+12	eng	100	9	0	
168	Growing Up Untouchable in India: A Dalit Autobiography	Vasant Moon-Gail Omvedt-Eleanor Zelliot	3.58	742508803	9.78074E+12	eng	224	16	4	
171	The Evidence-Based Social Work Skills Book	Barry R. Cournoyer	3.4	205358624	9.78021E+12	eng	216	10	0	
177	A Wrinkle in Time: A Guide for Using "A Wrinkle in Time" in the Classroom	John Carratello-Patty Carratello-Theresa Wright	3.94	1557344035	9.78156E+12	eng	48	17	0	
180	Wrinkles in Time	George Smoot-Keay Davidson	3.99	380720442	9.78038E+12	en-US	360	985	23	
181	A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)	Madeleine L'Engle	4.01	821925326	9.78082E+12	eng	250	37	7	
182	Literature Circle Guide: A Wrinkle in Time	Tara MacCarthy	3.57	043927169X	9.78044E+12	eng	32	14	0	
201	Una arruga en el tiempo â€“ A Wrinkle in Time	Madeleine L'Engle	4.01	606105263	9.78061E+12	spa	205	6	1	
204	The Long Shadow (The Morland Dynasty  #6)	Cynthia Harrod-Eagles	4.11	751506435	9.78075E+12	eng	367	366	16	
205	A Long Shadow (Inspector Ian Rutledge  #8)	Charles Todd	4.11	006078671X	9.78006E+12	eng	352	2934	222	
207	Long Way Round: Chasing Shadows Across the World	Ewan McGregor-Charley Boorman-Robert Uhlig	3.94	743499344	9.78074E+12	en-US	320	346	45	
208	A Shadow in Summer (Long Price Quartet  #1)	Daniel Abraham	3.6	765313405	9.78077E+12	eng	331	9530	604	
213	New Hope for the Dead (Hoke Mosely #2)	Charles Willeford-James Lee Burke	3.91	1400032490	9.7814E+12	eng	244	770	72	
214	Sideswipe: A Hoke Moseley Novel	Charles Willeford-Lawrence Block	4.04	1400032482	9.7814E+12	eng	215	688	68	
216	Miami Blues (Hoke Mosely #1)	Charles Willeford-Elmore Leonard	3.94	1400032466	9.7814E+12	eng	191	2739	158	
231	I am Charlotte Simmons	Tom Wolfe	3.41	312424442	9.78031E+12	eng	738	20508	1686	
237	Poetry for Young People: Edward Lear	Edward Lear-Laura Huliska-Beith-Edward Mendelson	3.9	806930772	9.78081E+12	eng	48	64	18	
244	The Puffin Book of Nonsense Verse	Quentin Blake	4.04	140366601	9.78014E+12	eng	287	76	6	
245	Henry Miller on Writing	Henry Miller-Thomas H. Moore	4.23	811201120	9.78081E+12	eng	217	937	50	
247	Quiet Days in Clichy	Henry Miller	3.69	080213016X	9.7808E+12	eng	154	3237	134	
249	Tropic of Cancer	Henry Miller-JiÅ™Ã­ NÃ­l	3.69	802131786	9.7808E+12	eng	318	50905	2290	
250	Tropic of Capricorn	Henry Miller	3.82	802151825	9.7808E+12	eng	348	13549	448	
251	Nexus (The Rosy Crucifixion  #3)	Henry Miller	4.09	802151787	9.7808E+12	eng	316	3181	53	
252	Sexus (The Rosy Crucifixion  #1)	Henry Miller	4.04	802151809	9.7808E+12	eng	506	7024	248	
253	The Air-Conditioned Nightmare	Henry Miller	3.83	811201066	9.78081E+12	eng	292	2627	142	
264	The Portrait of a Lady	Henry James-Patricia Crick	3.77	141439637	9.78014E+12	eng	797	60027	1854	
269	The Portrait of a Lady	Henry James-Gabriel Brownstein-Mary Cregan	3.77	1593080964	9.78159E+12	eng	635	386	40	
275	The Lover	Marguerite Duras-Barbara Bray-Maxine Hong Kingston	3.75	375700528	9.78038E+12	eng	117	22014	1363	
278	The War	Marguerite Duras-Barbara Bray-Ù‚Ù„Ø³Ù… Ø±ÙˆØ¨ÛŒÙ†	3.85	1565842219	9.78157E+12	eng	192	918	62	
280	The Ravishing of Lol Stein	Marguerite Duras-Richard Seever	3.67	394743040	9.78039E+12	en-US	181	1939	122	
281	Destroy  She Said	Marguerite Duras-Barbara Bray-Helen Lane Cumberford	3.68	080215154X	9.7808E+12	eng	133	532	41	
283	L'Amant de la Chine du Nord	Marguerite Duras	3.89	2070388093	9.78207E+12	fre	246	312	23	
285	Love Letters	Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari	3.67	1851681825	9.78185E+12	eng	178	201	9	
288	Kahlil Gibran: His Life and World	Jean Gibran-Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†-Kahlil Gibran	4.2	156656249X	9.78157E+12	eng	464	33	2	
289	The Beloved: Reflections on the Path of the Heart	Kahlil Gibran-John Walbridge-Robin Waterfield	4.19	014019553X	9.78014E+12	eng	102	320	16	
290	Jesus the Son of Man	Kahlil Gibran-Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†	3.98	394431243	9.78039E+12	eng	216	1272	78	
291	The Broken Wings	Kahlil Gibran-Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†-Anthony R. Ferris	3.92	806501901	9.78081E+12	eng	132	6175	492	
292	Sand and Foam	Kahlil Gibran-Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†	4.08	067943920X	9.78068E+12	eng	100	2893	210	
295	Treasure Island	Robert Louis Stevenson	3.83	753453800	9.78075E+12	eng	311	301399	6160	
296	Treasure Island	Robert Louis Stevenson-Scott McKowen	3.83	1402714572	9.7814E+12	en-US	213	393	41	
297	Treasure Island	Robert Louis Stevenson	3.83	1416500294	9.78142E+12	eng	245	5900	270	
298	Treasure Island	Robert Louis Stevenson-N.C. Wyeth-Timothy Meis	3.83	689854684	9.78069E+12	eng	64	103	16	
299	Treasure Island	Robert Louis Stevenson-Milo Winter	3.83	517221144	9.78052E+12	en-US	272	56	4	
302	Treasure Island (Great Illustrated Classics)	Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson	4.04	1577658051	9.78158E+12	eng	232	85	18	
304	Daniel Deronda	George Eliot-Edmund White	3.83	037576013X	9.78038E+12	eng	796	19852	601	
313	100 Years of Lynchings	Ralph Ginzburg	4.63	933121180	9.78093E+12	eng	270	81	4	
320	One Hundred Years of Solitude	Gabriel GarcÃ­a MÃ¡rquez-Gregory Rabassa	4.06	60531045	9.78006E+12	eng	417	547207	15763	
324	Cien aÃ±os de soledad	Gabriel GarcÃ­a MÃ¡rquez	4.06	785950109	9.78079E+12	spa	448	54	6	
325	Cien aÃ±os de soledad	Gabriel GarcÃ­a MÃ¡rquez	4.06	8423919005	9.78842E+12	spa	456	73	8	
330	On Beyond Zebra!	Dr. Seuss	4.04	394800842	9.78039E+12	eng	64	2724	153	
332	The Wedding Clause	Debbie Raleigh	3.58	821778250	9.78082E+12	eng	256	89	11	
333	The Zebra Wall	Kevin Henkes	3.46	60733039	9.78006E+12	eng	147	206	23	
337	El perfume: Historia de un asesino	Patrick SÃ¼skind	4.02	8432216062	9.78843E+12	spa	239	3956	242	
338	Jitterbug Perfume	Tom Robbins	4.24	553348981	9.78055E+12	eng	352	4157	393	
343	Perfume: The Story of a Murderer	Patrick SÃ¼skind-John E. Woods	4.02	140120831	9.78014E+12	eng	263	212561	7070	
347	Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein	Robert A. Heinlein	4.01	1582881847	9.78158E+12	eng	738	250	17	
348	The Door Into Summer	Robert A. Heinlein	4.01	345413997	9.78035E+12	eng	304	16743	617	
349	The Moon is a Harsh Mistress	Robert A. Heinlein	4.17	312863551	9.78031E+12	eng	382	3667	416	
350	Stranger in a Strange Land	Robert A. Heinlein	3.92	441788386	9.78044E+12	eng	528	241727	5985	
352	The Notebooks of Lazarus Long	Robert A. Heinlein-Stephen Hickman	4.07	074348844X	9.78074E+12	en-US	56	3192	23	
354	To Sail Beyond the Sunset	Robert A. Heinlein	3.87	441748600	9.78044E+12	en-US	434	10140	187	
355	Job: A Comedy of Justice	Robert A. Heinlein	3.78	345316509	9.78035E+12	en-US	439	15580	422	
356	Time for the Stars (Heinlein's Juveniles  #10)	Robert A. Heinlein	3.97	765314932	9.78077E+12	eng	256	6723	188	
357	The Long Dark Tea-Time of the Soul (Dirk Gently  #2)	Douglas Adams	4.06	671742515	9.78067E+12	en-US	307	65988	1353	
359	The Salmon of Doubt (Dirk Gently  #3)	Douglas Adams	3.92	345455290	9.78035E+12	eng	298	21562	722	
360	Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5)	Douglas Adams	3.97	345418778	9.78035E+12	en-US	240	72235	1269	
362	Wish You Were Here: The Official Biography of Douglas Adams	Nick  Webb	4.14	345476514	9.78035E+12	eng	368	2548	47	
367	Douglas Adams's Starship Titanic	Terry Jones	3.6	345368436	9.78035E+12	eng	256	864	80	
377	Salmon of Doubt: Hitchhiking the Galaxy One Last Time	Douglas Adams-Christopher Cerf	3.92	1417622857	9.78142E+12	eng	336	5	0	
378	The Phantom Tollbooth	Norton Juster-Jules Feiffer	4.21	394820371	9.78039E+12	en-US	256	206193	8290	
382	The Phantom Tollbooth: A Children's Play in Two Acts	Susan Nanus-Norton Juster	4.1	573650969	9.78057E+12	eng	72	94	13	
385	On Bullshit	Harry G. Frankfurt	3.57	691122946	9.78069E+12	eng	67	8773	937	
386	Another Bullshit Night in Suck City	Nick Flynn	3.78	393329402	9.78039E+12	eng	347	9053	907	
394	Lincoln at Gettysburg: The Words That Remade America	Garry Wills	4.13	671867423	9.78067E+12	en-US	317	119	14	
397	The Gettysburg Address	Abraham Lincoln-Michael McCurdy	4.53	395883970	9.7804E+12	eng	32	4967	69	
399	Underworld	Don DeLillo	3.92	684848155	9.78068E+12	eng	827	1471	170	
400	Libra	Don DeLillo	3.99	140156046	9.78014E+12	eng	480	11361	533	
402	Mao II	Don DeLillo	3.68	140152741	9.78014E+12	eng	254	8085	411	
403	Americana	Don DeLillo	3.43	140119485	9.78014E+12	eng	377	367	54	
404	Running Dog	Don DeLillo	3.42	679722947	9.78068E+12	eng	256	1285	70	
406	Cosmopolis	Don DeLillo	3.22	743244257	9.78074E+12	eng	224	449	40	
407	Great Jones Street	Don DeLillo	3.48	140179178	9.78014E+12	eng	272	2385	137	
408	The Names	Don DeLillo	3.64	679722955	9.78068E+12	eng	339	2990	201	
409	Against the Day	Thomas Pynchon	4.12	159420120X	9.78159E+12	eng	1085	5110	577	
410	V.	Thomas Pynchon	3.96	60930217	9.78006E+12	eng	547	1364	176	
411	The Crying of Lot 49	Thomas Pynchon	3.7	60931671	9.78006E+12	eng	152	2132	229	
412	Gravity's Rainbow	Thomas Pynchon	4.02	140283382	9.78014E+12	eng	784	752	211	
413	Mason & Dixon	Thomas Pynchon	4.06	312423209	9.78031E+12	eng	773	7756	570	
414	Vineland	Thomas Pynchon	3.68	141180633	9.78014E+12	en-US	385	668	64	
415	Gravity's Rainbow	Thomas Pynchon	4.02	143039946	9.78014E+12	eng	776	28034	2058	
416	Slow Learner: Early Stories	Thomas Pynchon	3.5	316724432	9.78032E+12	eng	193	322	32	
418	Been Down So Long It Looks Like Up To Me	Richard FariÃ±a-Thomas Pynchon	3.81	140189300	9.78014E+12	eng	352	2356	215	
420	The Year of Magical Thinking	Joan Didion	3.88	140004314X	9.7814E+12	en-US	227	2507	328	
421	The White Album	Joan Didion	4.17	374522219	9.78037E+12	eng	222	10584	651	
422	A Book of Common Prayer	Joan Didion	3.8	679754865	9.78068E+12	eng	272	2790	238	
423	Where I Was From	Joan Didion	3.86	679752862	9.78068E+12	eng	240	2665	282	
425	Democracy	Joan Didion	3.81	679754857	9.78068E+12	en-US	234	1963	165	
426	We Tell Ourselves Stories in Order to Live: Collected Nonfiction	Joan Didion-John Leonard	4.49	307264874	9.78031E+12	eng	1122	1486	107	
428	Play It as It Lays	Joan Didion-David Thomson	3.87	374529949	9.78037E+12	eng	231	21868	1577	
431	The New York Trilogy	Paul Auster-Art Spiegelman-Luc Sante	3.9	143039830	9.78014E+12	eng	308	40276	1794	
432	City of Glass (The New York Trilogy  #1)	Paul Auster	3.79	140097317	9.78014E+12	eng	203	11696	696	
434	Ghosts (The New York Trilogy  #2)	Paul Auster	3.65	014009735X	9.78014E+12	eng	96	3443	185	
435	The Locked Room (The New York Trilogy  #3)	Paul Auster	3.89	940650762	9.78094E+12	eng	179	2818	153	
444	Pyramids of Montauk: Explorations in Consciousness	Peter Moon-Preston B. Nichols-Nina Helms	3.91	963188925	9.78096E+12	eng	256	70	2	
446	The Brooklyn Follies	Paul Auster	3.83	312426232	9.78031E+12	eng	306	17317	1138	
447	Moon Palace	Paul Auster	3.98	140115854	9.78014E+12	eng	320	14594	475	
449	Timbuktu	Paul Auster	3.68	312263996	9.78031E+12	eng	181	9200	599	
450	Neon Lit: Paul Auster's City of Glass	Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan	3.92	038077108X	9.78038E+12	eng	129	120	18	
453	The Music of Chance	Paul Auster	3.9	140154078	9.78014E+12	en-US	217	354	35	
454	Travels in the Scriptorium	Paul Auster	3.23	805081453	9.78081E+12	eng	145	6492	558	
456	Leviathan	Paul Auster	3.95	140178139	9.78014E+12	eng	275	11238	420	
463	The Red Notebook: True Stories	Paul Auster	3.77	811214982	9.78081E+12	eng	104	2306	114	
466	Timbuktu / Leviathan / Moon Palace	Paul Auster	4.4	2742741461	9.78274E+12	fre	1075	20	1	
472	Why Write?	Paul Auster	3.77	1886224145	9.78189E+12	eng	58	126	13	
475	Collapse: How Societies Choose to Fail or Succeed	Jared Diamond	3.93	143036556	9.78014E+12	eng	608	49219	2672	
476	The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel	Stephen Leeb-Glen C. Strathy	3.39	446579785	9.78045E+12	en-US	211	207	26	
477	Collapse of Complex Societies	Joseph A. Tainter	4.13	052138673X	9.78052E+12	eng	262	676	87	
478	Bowling Alone: The Collapse and Revival of American Community	Robert D. Putnam	3.79	743203046	9.78074E+12	eng	544	4418	479	
481	The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom	Philip K. Howard	3.92	034543871X	9.78035E+12	eng	272	58	4	
484	Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America	Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco	4.39	393318281	9.78039E+12	eng	576	269	19	
